"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"AT","2018","T","ED0-2","Y15-74","PC_ACT","11.4"
"PL","2018","T","ED0-2","Y15-74","PC_ACT","9.9"
"PT","2018","T","ED0-2","Y15-74","PC_ACT","7.4"
"RO","2018","T","ED0-2","Y15-74","PC_ACT","5.8"
"SI","2018","T","ED0-2","Y15-74","PC_ACT","8.6"
"SK","2018","T","ED0-2","Y15-74","PC_ACT","29.8"
"FI","2018","T","ED0-2","Y15-74","PC_ACT","15.9"
"SE","2018","T","ED0-2","Y15-74","PC_ACT","19.0"
"UK","2018","T","ED0-2","Y15-74","PC_ACT","6.4"
"IS","2018","T","ED0-2","Y15-74","PC_ACT","4.5"
"NO","2018","T","ED0-2","Y15-74","PC_ACT","8.4"
"CH","2018","T","ED0-2","Y15-74","PC_ACT","8.3"
"ME","2018","T","ED0-2","Y15-74","PC_ACT","20.1"
"MK","2018","T","ED0-2","Y15-74","PC_ACT","23.8"
"RS","2018","T","ED0-2","Y15-74","PC_ACT","12.6"
"TR","2018","T","ED0-2","Y15-74","PC_ACT","9.9"
